"ID","waitingBonus","machine","result","latency_ms","performance","condition","expNum","amazonID","room","round","socialFreq0","socialFreq1","socialFreq2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0298","1","2","1","0","test","mainRoom1_0","29","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0199","0","1","1","0","test","mainRoom1_0","29","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.030600000000000002","1","2","1","0","test","mainRoom1_0","30","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","2","0.037599999999999995","1","2","1","0","test","mainRoom1_0","30","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.04","0","2","1","0","test","mainRoom1_0","30","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.03","0","2","1","0","test","mainRoom1_0","31","0","0","3"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0287","1","1","1","0","test","mainRoom1_0","31","0","0","3"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0139","1","1","1","0","test","mainRoom1_0","31","0","0","3"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0326","1","2","1","0","test","mainRoom1_0","32","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","2","0.029900000000000003","0","2","1","0","test","mainRoom1_0","32","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.021099999999999997","1","1","1","0","test","mainRoom1_0","32","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0319","0","1","1","0","test","mainRoom1_0","33","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","1","0.028900000000000002","0","1","1","0","test","mainRoom1_0","33","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.027200000000000002","1","1","1","0","test","mainRoom1_0","33","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.026699999999999998","1","2","1","0","test","mainRoom1_0","34","0","3","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.030899999999999997","1","2","1","0","test","mainRoom1_0","34","0","3","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.024","1","2","1","0","test","mainRoom1_0","34","0","3","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0202","1","1","1","0","test","mainRoom1_0","35","0","0","3"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0219","1","1","1","0","test","mainRoom1_0","35","0","0","3"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0256","1","1","1","0","test","mainRoom1_0","35","0","0","3"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0316","1","2","1","0","test","mainRoom1_0","36","1","2","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0346","0","2","1","0","test","mainRoom1_0","36","1","2","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0245","1","1","1","0","test","mainRoom1_0","36","1","2","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0335","1","1","1","0","test","mainRoom1_0","37","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","2","0.026099999999999998","0","2","1","0","test","mainRoom1_0","37","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0197","1","1","1","0","test","mainRoom1_0","37","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0339","1","2","1","0","test","mainRoom1_0","38","1","1","1"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0246","0","2","1","0","test","mainRoom1_0","38","1","1","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0275","1","2","1","0","test","mainRoom1_0","38","1","1","1"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0278","1","1","1","0","test","mainRoom1_0","39","0","0","3"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0256","1","1","1","0","test","mainRoom1_0","39","0","0","3"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.031400000000000004","0","1","1","0","test","mainRoom1_0","39","0","0","3"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0235","1","2","1","0","test","mainRoom1_0","40","0","3","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0178","1","2","1","0","test","mainRoom1_0","40","0","3","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.029900000000000003","1","1","1","0","test","mainRoom1_0","40","0","3","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0222","2","1","1","0","test","mainRoom1_0","41","1","0","2"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0317","1","2","1","0","test","mainRoom1_0","41","1","0","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0302","1","2","1","0","test","mainRoom1_0","41","1","0","2"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0294","1","3","1","0","test","mainRoom1_0","42","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0255","1","1","1","0","test","mainRoom1_0","42","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0334","1","3","1","0","test","mainRoom1_0","42","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.023399999999999997","1","1","1","0","test","mainRoom1_0","43","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0318","1","2","1","0","test","mainRoom1_0","43","2","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0292","0","2","1","0","test","mainRoom1_0","43","2","1","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0281","0","1","1","0","test","mainRoom1_0","44","0","1","2"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0297","2","1","1","0","test","mainRoom1_0","44","0","1","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.028300000000000002","1","2","1","0","test","mainRoom1_0","44","0","1","2"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0302","0","1","1","0","test","mainRoom1_0","45","0","2","1"
"2ett6hpU8HJJPhjnAAAC","0","1","0.023799999999999998","1","1","1","0","test","mainRoom1_0","45","0","2","1"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0294","1","1","1","0","test","mainRoom1_0","45","0","2","1"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.0256","1","2","1","0","test","mainRoom1_0","46","0","3","0"
"2ett6hpU8HJJPhjnAAAC","0","2","0.0216","1","2","1","0","test","mainRoom1_0","46","0","3","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0233","0","3","1","0","test","mainRoom1_0","46","0","3","0"
"v-gbwchaqrRXpZfyAAAA","0.13","2","0.022099999999999998","1","2","1","0","test","mainRoom1_0","47","1","0","2"
"2ett6hpU8HJJPhjnAAAC","0","2","0.02","1","2","1","0","test","mainRoom1_0","47","1","0","2"
"IQPXqoyoiWIDB2_6AAAB","0.03","2","0.0286","1","2","1","0","test","mainRoom1_0","47","1","0","2"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0302","0","1","1","0","test","mainRoom1_0","48","0","0","3"
"2ett6hpU8HJJPhjnAAAC","0","1","0.021099999999999997","1","1","1","0","test","mainRoom1_0","48","0","0","3"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.030299999999999997","2","1","1","0","test","mainRoom1_0","48","0","0","3"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0313","1","1","1","0","test","mainRoom1_0","49","0","3","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0207","1","1","1","0","test","mainRoom1_0","49","0","3","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0341","1","1","1","0","test","mainRoom1_0","49","0","3","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0256","1","3","1","0","test","mainRoom1_0","50","0","3","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.039599999999999996","0","3","1","0","test","mainRoom1_0","50","0","3","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.023399999999999997","1","3","1","0","test","mainRoom1_0","50","0","3","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0319","1","3","1","0","test","mainRoom1_0","51","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0354","0","3","1","0","test","mainRoom1_0","51","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0256","0","3","1","0","test","mainRoom1_0","51","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.032","1","3","1","0","test","mainRoom1_0","52","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.032","1","3","1","0","test","mainRoom1_0","52","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0253","1","3","1","0","test","mainRoom1_0","52","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0271","1","3","1","0","test","mainRoom1_0","53","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0322","1","3","1","0","test","mainRoom1_0","53","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0286","1","3","1","0","test","mainRoom1_0","53","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0388","1","3","1","0","test","mainRoom1_0","54","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.022400000000000003","1","3","1","0","test","mainRoom1_0","54","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0365","1","3","1","0","test","mainRoom1_0","54","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0253","1","3","1","0","test","mainRoom1_0","55","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.028300000000000002","1","3","1","0","test","mainRoom1_0","55","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.034","1","3","1","0","test","mainRoom1_0","55","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0353","1","3","1","0","test","mainRoom1_0","56","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.030899999999999997","1","3","1","0","test","mainRoom1_0","56","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0285","0","3","1","0","test","mainRoom1_0","56","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0273","1","3","1","0","test","mainRoom1_0","57","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.040999999999999995","0","3","1","0","test","mainRoom1_0","57","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0282","1","3","1","0","test","mainRoom1_0","57","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.027000000000000003","1","3","1","0","test","mainRoom1_0","58","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.019","1","3","1","0","test","mainRoom1_0","58","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.042","1","3","1","0","test","mainRoom1_0","58","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.026000000000000002","1","3","1","0","test","mainRoom1_0","59","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0397","1","3","1","0","test","mainRoom1_0","59","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.039599999999999996","1","3","1","0","test","mainRoom1_0","59","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0336","1","3","1","0","test","mainRoom1_0","60","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0417","0","3","1","0","test","mainRoom1_0","60","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0368","1","3","1","0","test","mainRoom1_0","60","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0364","0","3","1","0","test","mainRoom1_0","61","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0356","1","3","1","0","test","mainRoom1_0","61","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0327","1","3","1","0","test","mainRoom1_0","61","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0239","1","3","1","0","test","mainRoom1_0","62","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0381","0","3","1","0","test","mainRoom1_0","62","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.023","1","3","1","0","test","mainRoom1_0","62","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0361","1","3","1","0","test","mainRoom1_0","63","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0235","1","1","1","0","test","mainRoom1_0","63","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0279","1","3","1","0","test","mainRoom1_0","63","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0353","1","3","1","0","test","mainRoom1_0","64","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0292","1","3","1","0","test","mainRoom1_0","64","2","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.0318","1","1","1","0","test","mainRoom1_0","64","2","1","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0337","1","3","1","0","test","mainRoom1_0","65","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0405","1","3","1","0","test","mainRoom1_0","65","2","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.020099999999999996","1","1","1","0","test","mainRoom1_0","65","2","1","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0199","1","3","1","0","test","mainRoom1_0","66","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.033","1","3","1","0","test","mainRoom1_0","66","2","1","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.030699999999999998","1","3","1","0","test","mainRoom1_0","66","2","1","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0174","1","1","1","0","test","mainRoom1_0","67","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","1","0.028900000000000002","1","1","1","0","test","mainRoom1_0","67","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0173","1","3","1","0","test","mainRoom1_0","67","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0297","0","3","1","0","test","mainRoom1_0","68","1","2","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.039","0","3","1","0","test","mainRoom1_0","68","1","2","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.028399999999999998","2","3","1","0","test","mainRoom1_0","68","1","2","0"
"v-gbwchaqrRXpZfyAAAA","0.13","0","0.0385","1","3","1","0","test","mainRoom1_0","69","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","0","0.0308","0","3","1","0","test","mainRoom1_0","69","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0315","1","3","1","0","test","mainRoom1_0","69","3","0","0"
"IQPXqoyoiWIDB2_6AAAB","0.03","0","0.0336","1","3","1","0","test","mainRoom1_0","70","3","0","0"
"2ett6hpU8HJJPhjnAAAC","0","1","0.0264","0","1","1","0","test","mainRoom1_0","70","3","0","0"
"v-gbwchaqrRXpZfyAAAA","0.13","1","0.0256","1","1","1","0","test","mainRoom1_0","70","3","0","0"
